playlist_genre,train_n,tidy_n,train_prop,tidy_prop
edm,4532,6043,18.405555781180198,18.405262997593884
latin,3866,5155,15.700767575031474,15.700667011847836
pop,4130,5507,16.7729358729643,16.772759114305728
r&b,4073,5431,16.54144499045608,16.54128468309323
rap,4309,5746,17.49989846891118,17.500685286145035
rock,3713,4951,15.079397311456768,15.079340907014284
