playlist_genre,train _n,tidy _n,train _prop,tidy _prop
edm,6043,6043,18.405262997593884,18.405262997593884
latin,5155,5155,15.700667011847836,15.700667011847836
pop,5507,5507,16.772759114305728,16.772759114305728
r&b,5431,5431,16.54128468309323,16.54128468309323
rap,5746,5746,17.500685286145035,17.500685286145035
rock,4951,4951,15.079340907014284,15.079340907014284
